"Internal ID","Vendor","Site Type","Proposed Vendor","Proposed Mimo Config","Site Access Achieved ","ESN Power Resilience Hub","Power Resilience Solution","Unique Coverage","Existing Power Supply Type","EXISTING POWER SUPPLY PHASE","Existing Power Supply Rating","Main Contract","Hyperlink","Design Dependency Type","Overall GA Status","Overall DD Status","Site ID","Supplier instructed","Owner","Revision","DD Rev 1 Forecast","Build Start","Delivery F/C","Next actioner","Status","Comments"
23500,"KTL UK Internal Design Team","Streetworks","Nokia","18\21\26 @4x4; 70\80 @2x2; 3500 @32x32","1/1/1900","0","0","0",,,,"Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-274426 16994 BISHOPS RISE LP","006 Electrical Calculations / Design","First Check","To be instructed","16994","28/2/2025","Joshua Green","A","4/4/2025","1/1/1900","13/3/2025","Sarah  Radwan","Not Started","03.03.25.DH electrical designer instructed 28/02/25-JG-Please complete electrical design"
23597,"KTL UK Internal Design Team","Greenfield","Nokia","18\21\26 @4x4; 70\80 @2x4","29/6/2023","Potential Commercial - Check Required","0","0",,,,"Everything Everywhere Limited : EE Airscale - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-257278 19922 PENTWYN FARM","006 Electrical Calculations / Design","Approved","Amendment","19922","4/3/2025","Joshua Green","B","11/3/2025","7/4/2025","14/3/2025","Nick Seymour","On Hold Query","13.03.25 NS - Waiting to hear back from James French at BT regarding MCB concession.<br /><br />12/03/25-JG-no changes to structural , please update electricals as per latest DD <br />10.03.25 NS - Site on hold due to structural and power. See Dougie"
23725,"KTL UK Internal Design Team","Streetworks","Ericsson","18\21\26 @4x4","1/1/1900","0","0","0",,,,"Everything Everywhere Limited : EE Special Projects Main Contract","Everything Everywhere Limited : P-277009 50591 YORKTON STREET DNS","006 Electrical Calculations / Design","Approved","3rd party in progress","50591","10/3/2025","Dylan van Belkum","B","28/3/2025","1/1/1900","14/3/2025",,"Not Started","At Risk - pending DD which is scheduled for 12/03."
23768,"KTL UK Internal Design Team","Greenfield",,,,,,,,,,"Vodafone UK : VF North Main Contract","Vodafone UK : 13350_0","006 Electrical Calculations / Design",,,"13350_0",,"Khurram Shahzad",,,,"14/3/2025","Leon  Chevallier","Not Started","Electrical Calcs request"
23787,"KTL UK Internal Design Team","Greenfield",,,,,,,"DNO","Single Phase","100A","Cornerstone UK : Cornerstone UK Main Contract","Cornerstone UK : CS 12366723 5829vf VF399 DESIGN","006 Electrical Calculations / Design","Approved","3rd party in progress","5829vf","11/3/2025","Raashid Patel","A","21/3/2025","1/1/1900","14/3/2025","Nick Seymour","Not Started","VF399 PRIORITY SITE"
22674,"KTL UK Internal Design Team","Rooftop",,,,,,,"Landlord Supply","Three Phase","100A","Cornerstone UK : Cornerstone UK Main Contract","Cornerstone UK : CS 12165528 1685vf VF399 DESIGN","006 Electrical Calculations / Design","Approved","First Check","1685vf","6/2/2025","Raashid Patel","A","14/3/2025","1/1/1900","14/3/2025","Leon  Chevallier","In Progress","VF399 PRIORITY SITE. Elec design to be done based on redline in DD folder <br />13/03/25 - RP - Elec survey complete and report saved in SP by Grant Thomas along with the photos in 04. Design Dependancies folder. Calcs now required.<br />06/02/25 - R"
23789,"KTL UK Internal Design Team","Greenfield",,,,,,,"DNO","Three Phase","100A","Cornerstone UK : Cornerstone UK Main Contract","Cornerstone UK : CS 12113723 731vf VF399 DESIGN","006 Electrical Calculations / Design","Approved","First Check","731vf","11/3/2025","Raashid Patel","A","28/3/2025","1/1/1900","17/3/2025","Leon  Chevallier","Not Started","VF399 PRIORITY SITE"
22891,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @2x2","1/1/1900","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293824 25700 LOVELACE ROAD - STREETWORKS 192240","006 Electrical Calculations / Design","Second Check","To be instructed","25700","13/3/2025","Reece V Belkum","A","31/3/2025","1/1/1900","18/3/2025","Leon  Chevallier","Not Started","*SW fast site*<br />13/3/2025 - RVB - Instructed<br />GA in the Receieved Folder"
23909,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @2x2","1/1/1900","0","0","0",,,,"Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293886 51223 OAKLANDS LANE DNS","006 Electrical Calculations / Design","Approved",,"51223","13/3/2025","Reece V Belkum","A","1/1/1900","1/1/1900","18/3/2025","Nick Seymour","Not Started","14.03.25 DH design instructed<br />*SW fast site*<br />13/3/2025 - RVB - Instructed"
17632,"KTL UK Internal Design Team","Streetworks","Nokia","18\21\26 @4x4; 3500 @32x32","1/1/1900","0","0","0",,,,"Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-274364 11096 LP KINGSWAY","006 Electrical Calculations / Design","Issued Pending Approval","To be instructed","11096","24/2/2025","Joshua Green","A","4/4/2025","1/1/1900","18/3/2025","Sarah  Radwan","Not Started","25.02.25.DH.electrical design instructed 24/02/25-JG-Please complete electrical design (GA)"
22889,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @2x2; 80 @2x2","1/1/1900","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293821 71565 MIERS COURT ROAD","006 Electrical Calculations / Design","Approved",,"71565","13/3/2025","Reece V Belkum","A","1/1/1900","1/1/1900","18/3/2025","Nick Seymour","Not Started","14.03.25 DH design instructed<br />&nbsp;*SW fast site*<br />13/3/2025 - RVB - Instructed"
23912,"KTL UK Internal Design Team","Streetworks","Nokia","18\21\26 @4x4; 3500 @32x32","1/1/1900","0","0","0",,,,"Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-274345 10573 TP HI-Q TYRES","006 Electrical Calculations / Design","Approved","To be instructed","10573","13/3/2025","Reece V Belkum","A","30/5/2025","1/1/1900","18/3/2025","Nick Seymour","Not Started","*SW fast site*<br />13/3/2025 - RVB - Instructed"
21681,"KTL UK Internal Design Team","Greenfield","Nokia","18\21 @4x4; 70\80 @2x4","1/1/1900","0","0","0","DNO","Three Phase","100A","Cellnex UK : Cellnex UK Main Contract","Cellnex UK : COL.MOD.UK.0003157 P-173765 28707 BULKINGTON WITHYBROOK ROAD","006 Electrical Calculations / Design",,"To be instructed","28707","11/2/2025","Dylan van Belkum","A","30/5/2025","1/1/1900","18/3/2025","Sarah  Radwan","Not Started","11/02/2025 - DvB - Urgent for the 20th Feb Target"
23805,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @2x2","1/1/1900","0","0","0","DNO","Three Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293858 16931 LP SUN LANE","006 Electrical Calculations / Design","To be instructed","3rd party in progress","16931","11/3/2025","Dylan van Belkum","A","31/3/2025","1/1/1900","19/3/2025","Nick Seymour","Pending information","12/03/25 NS - GA or DD not available yet"
23786,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @2x2","1/1/1900","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293844 17611 KINGSWOOD TELEGRAPH POLE 2","006 Electrical Calculations / Design","To be instructed","3rd party in progress","17611",,"Dylan van Belkum","A","31/3/2025","1/1/1900","19/3/2025","Nick Seymour","Pending information","12/03/25 NS - GA or DD not available yet"
23816,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @2x2","1/1/1900","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293869 51598 PAVEMENT OUTSIDE CENTURY PUB DNS","006 Electrical Calculations / Design","To be instructed","3rd party in progress","51598","11/3/2025","Dylan van Belkum","A","31/3/2025","1/1/1900","19/3/2025","Nick Seymour","Pending information","12/03/25 NS - GA or DD not available yet"
12029,"KTL UK Internal Design Team","Third Party Radio Site (TPRS)","Ericsson","18\26 @4x4; 21 @2x2; 80 @2x2","13/3/2025","0","0","0",,,,"Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-232602 96130 NORWEB MAST","006 Electrical Calculations / Design","Approved","First Check","96130","27/2/2025","Reece V Belkum","A","16/5/2025","1/1/1900","19/3/2025","Sarah  Radwan","Not Started","03.03.25.DH electrical designer instructed <br />27/02/25 - VE - Please see DD A1<br />10/7/2023 - RVB - On hold pending structural pass"
22845,"KTL UK Internal Design Team","Streetworks","Nokia","18\21\26 @4x4; 70\80 @2x2; 3500 @32x32","11/3/2025","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293789 96879 KINGSTON RETAIL PARK SW","006 Electrical Calculations / Design","Approved","To be instructed","96879","13/3/2025","Reece V Belkum","A","30/4/2025","1/1/1900","19/3/2025","Nick Seymour","Not Started","14.03.25 DH design instructed<br />*SW fast site*<br />13/3/2025 - RVB - Instructed"
22896,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @2x2","1/1/1900","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293830 77402 CHALK ROAD SW'S","006 Electrical Calculations / Design","First Check","To be instructed","77402","13/3/2025","Reece V Belkum","A","31/3/2025","1/1/1900","19/3/2025","Nick Seymour","Not Started","14.03.25 DH design instructed<br />*SW fast site*<br />13/3/2025 - RVB - Instructed"
22733,"KTL UK Internal Design Team","Greenfield","Ericsson","18\21 @4x4; 70\80 @2x4","1/1/1900","TTS - Whole Site","0","0","DNO","Three Phase","100A","Cellnex UK : Cellnex UK Main Contract","Cellnex UK : COL.MOD.UK.0003941 S1 P-273925 65251 FALKIRK SHEILDHILL","006 Electrical Calculations / Design",,"3rd party in progress","65251",,"Matthew Cragg","A","21/3/2025","1/1/1900","19/3/2025","David Hegarty","Not Started","07/03/2025 - DD Received<br /><br />06/02/2025 - MC - Pending DD"
17628,"KTL UK Internal Design Team","Greenfield","Nokia","18\21 @4x4; 70\80 @2x4","1/1/1900","Potential Commercial - Check Required","0","0",,,,"Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-273885 10960 HAILEY HILL","006 Electrical Calculations / Design","Approved","To be instructed","10960","14/10/2024","Reece V Belkum","B","11/4/2025","1/1/1900","19/3/2025","David Hegarty","Not Started","4/3/2025 - RVB - Potential Commercial - Check Required (if PR then calcs amend needed)<br />----------------------<br />4/11/2024 - RVB - Received<br />31.10.24 LC ELECTRICAL DESIGN COMPLETE, DNO REQUIRED FOR ISOLATOR<br />16/10/2024 - RVB - Instruct"
23832,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @2x2","1/1/1900","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293879 10879 WHITMORE CLOSE","006 Electrical Calculations / Design","To be instructed","3rd party in progress","10879","12/3/2025","Dylan van Belkum","A","31/3/2025","1/1/1900","20/3/2025",,"Pending information","DD will be on our desk on by the 20th March"
23837,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @2x2","1/1/1900","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293880 10823 MM - KNOWL HILL","006 Electrical Calculations / Design","To be instructed","3rd party in progress","10823","12/3/2025","Dylan van Belkum","A","31/3/2025","1/1/1900","20/3/2025","Leon  Chevallier","Pending information","DD pending"
23898,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @2x2","1/1/1900","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293867 17658 NEW CUT ROAD WEST","006 Electrical Calculations / Design","To be instructed","3rd party in progress","17658","13/3/2025","Dylan van Belkum","A","31/3/2025","1/1/1900","20/3/2025","Leon  Chevallier","Pending information","Pending DD"
22908,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @2x2","1/1/1900","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293846 51454 BATH ROAD SW (FP)","006 Electrical Calculations / Design","First Check","To be instructed","51454","13/3/2025","Reece V Belkum","A","31/3/2025","1/1/1900","20/3/2025","Nick Seymour","Not Started","14.03.25 DH design instructed<br />*SW fast site*<br />13/3/2025 - RVB - Instructed"
22882,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @4x4; 70\80 @2x2","1/1/1900","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293797 93432 NEWBURY CLOSE/NEWBURY LANE SW","006 Electrical Calculations / Design","Approved","To be instructed","93432","13/3/2025","Joshua Green","A","18/4/2025","1/1/1900","20/3/2025","Nick Seymour","Not Started","14.03.25 DH design instructed<br />*SW fast site*<br />13/3/2025 - RVB - Instructed"
18651,"KTL UK Internal Design Team","Greenfield","Ericsson","18\21\26 @4x4; 70\80 @2x4; 3500 @32x32",,,,,,,,"Cornerstone UK : Cornerstone UK Main Contract","Cornerstone UK : CS Acq and Design 14085041 50371 ICSS","006 Electrical Calculations / Design","Approved","Awaiting dependencies","50371","21/10/2024","Reece V Belkum","A","30/4/2025","1/1/1900","20/3/2025","Leon  Chevallier","Not Started","07/02 MO- electrical survey booked for 06/03/2025<br />6/11/2024 - RVB - Electrical survey required<br />1.11.24 LC Electrical survey required for submains/origin.<br />21/10/2024 - RVB - Instructed"
23842,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @4x4","1/1/1900","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293884 77390 B2246 SW'S #1","006 Electrical Calculations / Design","To be instructed","3rd party in progress","77390","12/3/2025","Dylan van Belkum","A","31/3/2025","1/1/1900","21/3/2025","Leon  Chevallier","Pending information","Pending DD"
23914,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @4x4","1/1/1900","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293888 10548 PUNTOE STREET TELEGRAPH POLE","006 Electrical Calculations / Design","To be instructed","3rd party in progress","10548","13/3/2025","Dylan van Belkum","A","31/3/2025","1/1/1900","21/3/2025","Sarah  Radwan","Pending information","DD pending"
23893,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @2x2","1/1/1900","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293851 61701 LONDON RD","006 Electrical Calculations / Design","To be instructed","3rd party in progress","61701","13/3/2025","Dylan van Belkum","A","31/3/2025","1/1/1900","21/3/2025","Leon  Chevallier","Pending information","Pending DD"
23901,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @2x2","1/1/1900","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293877 51240 FOSTINGTON WAY DNS","006 Electrical Calculations / Design","To be instructed","3rd party in progress","51240","13/3/2025","Dylan van Belkum","A","31/3/2025","1/1/1900","21/3/2025","Nick Seymour","Pending information",
23843,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @4x4","1/1/1900","0","0","0",,,,"Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293889 10581 NHS BEDS AND LUTON NHS - LP866","006 Electrical Calculations / Design","To be instructed","To be instructed","10581","12/3/2025","Dylan van Belkum","A","31/3/2025","1/1/1900","21/3/2025","Leon  Chevallier","Pending information","Pending DD"
19608,"KTL UK Internal Design Team","Rooftop","Ericsson","18\21 @4x4; 70\80 @2x4","1/1/1900","0","0","0","Landlord Supply","Three Phase","100A","Cellnex UK : Cellnex UK Main Contract","Cellnex UK : COL.MOD.UK.0003367 S1 P-257789 22701 ERSKINE NORTH BARR","006 Electrical Calculations / Design",,"First Check","22701","10/12/2024","Dylan van Belkum","A","28/3/2025","1/1/1900","21/3/2025","Nick Seymour","Pending information","12/03/25 NS - Schematics and calcs complete but cannot be released until pending multiple earth survey has been completed. <br /><br />19/12/24 NS - On hold for multiple earth survey"
22901,"KTL UK Internal Design Team","Streetworks","Nokia","18\21 @2x2","26/2/2025","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-293837 51525 CAMDEN PRK DNS","006 Electrical Calculations / Design","Approved","To be instructed","51525","3/3/2025","Joshua Green","A","31/3/2025","1/1/1900","21/3/2025","David Hegarty","Not Started","03/03/25-JG-Please complete electrical design"
23097,"KTL UK Internal Design Team","Greenfield","Nokia","18\21\26 @4x4; 70\80 @2x4","1/1/1900","0","0","0","DNO","Single Phase","100A","Cellnex UK : Cellnex UK Main Contract","Cellnex UK : COL.MOD.UK.0003960 S1 P-273965 50503 LEIGHTON BUZZARD GROVEBY ROAD","006 Electrical Calculations / Design",,"3rd party in progress","50503",,"Matthew Cragg","A","30/3/2025","1/1/1900","21/3/2025",,"Not Started",
23406,"KTL UK Internal Design Team","Greenfield","Nokia","18\21\26 @4x4; 70\80 @2x2; 3500 @32x32","1/1/1900","0","0","0",,,,"Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-273207 68240 ERNEST DOE & SONS","006 Electrical Calculations / Design","Issued Pending Approval","To be instructed","68240","26/2/2025","Joshua Green","A","4/4/2025","1/1/1900","21/3/2025","David Hegarty","Not Started","26/02/25-JG-Please complete electrical design"
23166,"KTL UK Internal Design Team","Streetworks",,,,,,,,,,"Cornerstone UK : Cornerstone Beacon 4 Main Contract","Cornerstone UK : CS 30241101 18692 B4 DESIGN","006 Electrical Calculations / Design","Approved","To be instructed","18692","18/2/2025","Raashid Patel","A","1/1/2040",,"25/3/2025","Leon  Chevallier","Not Started","18/02/25 - RP - Elec calcs to proceed with GA redlines. All info saved within SP. Please contact myself or Ben W if any issues with elec, before placing site on hold query etc etc."
23019,"KTL UK Internal Design Team","Greenfield",,,,,,,"DNO","Single Phase","100A","Cornerstone UK : Cornerstone UK Main Contract","Cornerstone UK : CS 12300923 4367vf VF399 DESIGN","006 Electrical Calculations / Design","Approved","First Check","4367vf","4/3/2025","Raashid Patel","A","31/3/2025","1/1/1900","25/3/2025","Leon  Chevallier","Not Started","VF399 PRIORITY SITE<br />13/02/25 - RP - Elec calcs to be instructed as soon as we have DD draft."
17630,"KTL UK Internal Design Team","Rooftop","Nokia","18\21\26 @4x4; 70\80 @2x4; 3500 @32x32","1/1/1900","Potential Commercial - Check Required","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-274169 10986 HOLMER GREEN UPPER SCHOOL","006 Electrical Calculations / Design","Approved","To be instructed","10986","20/2/2025","Joshua Green","A","11/4/2025","1/1/1900","27/3/2025","Sarah  Radwan","Not Started","13/02/25-Please complete electrical design GA_B"
22026,"KTL UK Internal Design Team","Rooftop","Ericsson","18\21\26 @4x4; 70\80 @2x4; 3500 @32x32","1/1/1900","0","RM","0",,,,"Everything Everywhere Limited : EE Special Projects Main Contract","Everything Everywhere Limited : P-282538 66129 BRUNTWOOD YORK HOUSE","006 Electrical Calculations / Design","Approved","To be instructed","66129","13/1/2025","Joshua Green","A","4/4/2025","1/1/1900","28/3/2025","Leon  Chevallier","Not Started","17.2.25 LC SURVEY NOT COMPLETE, DESIGN ON HOLD.<br />06/02/25-JG-please review legacy downloads folder to see if survey is still needed<br />29.1.25 LC electrical survey required for design.<br />13/01/25-JG-Please complete electrical design"
23513,"KTL UK Internal Design Team","Greenfield","Nokia","18\21 @4x4; 70\80 @2x4",,,,,,,,"Cornerstone UK : Cornerstone UK Main Contract","Cornerstone UK : CS Acq and Design 12585026 53051 ICSS","006 Electrical Calculations / Design","Issued Pending Approval","To be instructed","53051","28/2/2025","Reece V Belkum","A","11/4/2025","1/1/1900","1/4/2025","Nick Seymour","Pending information","13.03.25 NS - DD or GA not available yet<br /><br />03.03.25.DH electrical designer instructed 28/2/2025 - RVB - Instructed"
22870,"KTL UK Internal Design Team","Greenfield","Ericsson","18\21\26 @4x4; 70\80 @2x4; 3500 @32x32","1/1/1900","TTS - Whole Site","0","0","DNO","Three Phase","100A","Cellnex UK : Cellnex UK Main Contract","Cellnex UK : COL.MOD.UK.0003490 S1 P-258220 94435 FRIDGECOSSE","006 Electrical Calculations / Design",,"3rd party in progress","94435",,"Matthew Cragg","A","11/4/2025","1/1/1900","1/4/2025",,"On Hold Query",
21690,"KTL UK Internal Design Team","Greenfield","Ericsson","18\21 @4x4; 70\80 @2x4","1/1/1900","Potential Commercial - Check Required","0","0","DNO","Single Phase","100A","Cellnex UK : Cellnex UK Main Contract","Cellnex UK : COL.MOD.UK.0003457 P-258109 69909 BURNLEY MILL HILL LANE","006 Electrical Calculations / Design",,"3rd party in progress","69909",,"Matthew Cragg","A","9/4/2025","1/1/1900","2/4/2025","Nick Seymour","On Hold Query","13/03/25 NS - Potential Commercial Check request sent to Paul graham on 13.03.25"
