"Internal ID","NS
Status","Site Scope","Instruction Date","Project 
ID 
","Site ID","MBNL Site ID","VF Site ID","TEF Site ID","KTL Project Name","Project Comments","Client 
Priority","Drawing Priority/Status","Site Type","Structure Owner","Design Blocker Start","Design Blocked Close","Blocker 
Status","Blocker Owner","Blocker Reason","Blocker Comments","Survey Supplier","Surveyor","Survey 
RAG","Survey 
Revison","Survey Permit 
Number","RAMS
(A)","Survey
(F)","Survey (A)","DRONE SURVEY DATE (F)","Drone Survey (A)","RMSV DATE (F)","RMSV(A)","SURVEY / DESIGN HANDOVER INFORMATION","Survey 
Approved","Survey Uploaded
to Clients Tools","SURVEY INFORMATION COMMENTS","Survey Comments","Survey Blocker Comments","Survey Abort Comments","GA Supplier","GA Instruction 
Type","CAD provided to 
3rd party 
supplier","GA
(F)","GA 
Rev","GA Designer","GA Status","GA Action","GA Design Notes","GA Issued Client (A)","GA Approved Client (A)","GA Issued Operator (A)","GA Approved Operator (A)","DD Supplier","Dependency 
RAG","Dependency
Owner","Remaining Dependencies
(auto updates at 23:00)","Dependency Notes","DD Status","DD Action","DD Design Notes","DD
Rev","Dependency
Clear","DD
(F)","Dependency
(F)","DD Issued Client (A)","DD Designer","DD Approved Client (A)","DD Issued to Operator (A)","DD Approved to Operator (A)"
"26085","In Progress","Acquisition Only","18/03/2024","12190302","2282o2","","87399vf","2282o2","Microwave","Microwave","F","","Greenfield","","","","","","","","","","","","","F","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","Emfyser","GA (Existing + Proposed Pages)","F","01/01/1900","A","","To be instructed","","","","01/01/1900","01/01/1900","01/01/1900","Emfyser","","Raashid Patel","","","To be instructed","","","","F","01/01/1900","01/01/1900","","","01/01/1900","01/01/1900","01/01/1900"
"26096","In Progress","Acquisition Only","18/03/2024","12872205","89191","","","","Microwave","Microwave","F","","Greenfield","","","","","","","","","","","","","F","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","Emfyser","GA (Existing + Proposed Pages)","F","01/01/1900","A","","To be instructed","","","","01/01/1900","01/01/1900","01/01/1900","Emfyser","","Raashid Patel","","","To be instructed","","","","F","01/01/1900","01/01/1900","","","01/01/1900","01/01/1900","01/01/1900"
"26097","In Progress","Acquisition Only","18/03/2024","14025529","49215","","","","Microwave","Microwave","F","","Rooftop","","","","","","","","","","","","","F","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","Emfyser","GA (Existing + Proposed Pages)","F","01/01/1900","A","","To be instructed","","","01/01/1900","01/01/1900","01/01/1900","01/01/1900","Emfyser","","Raashid Patel","","","To be instructed","","","","F","01/01/1900","01/01/1900","","","01/01/1900","01/01/1900","01/01/1900"
"26098","In Progress","Acquisition Only","19/03/2024","12860322","84979","","","","Microwave","Microwave","F","","Greenfield","","","","","","","","","","","","","F","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","Emfyser","GA (Existing + Proposed Pages)","F","01/01/1900","A","","To be instructed","","","","01/01/1900","01/01/1900","01/01/1900","Emfyser","","Raashid Patel","","","To be instructed","","","","F","01/01/1900","01/01/1900","","","01/01/1900","01/01/1900","01/01/1900"
"26257","Closed","","","30896500","28205","","","","","Outside London","F","","Deinstructed","","","","","","","","","","","","","F","","","","","","01/01/1900","","F","F","","","","","","","F","","","","","","03.02.2025 – SH:  TEST TEST TEST TEST","","","","","","","Raashid Patel","","","","","","","F","","","","","","",""
"26258","Closed","","","12390825","17050","","","","","Microwave","F","","Deinstructed","","","","","","","","","","","","","F","","","","","","01/01/1900","","F","F","","","","","","","F","","","","","","","","","","","","","Raashid Patel","","","","","","","F","","","","","","",""
"26259","Closed","","","12082334","588","","","","","Microwave","F","","Deinstructed","","","","","","","","","","","","","F","","","","","","01/01/1900","","F","F","","","","","","","F","","","","","","","","","","","","","Raashid Patel","","","","","","","F","","","","","","",""
"26271","Closed","","","12104031","86039","","","","","Microwave","F","","Deinstructed","","","","","","","","","","","","","F","","","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","Emfyser","GA (Existing + Proposed Pages)","F","","","","","","","","","","","","","Raashid Patel","","","","","","","F","","","","","","",""
"26272","Closed","","","12285227","78195","","","","","Microwave","F","","Deinstructed","","","","","","","","","","","","","F","","","","","","01/01/1900","","F","F","","","","","","","F","","","","","","","","","","","","","Raashid Patel","","","","","","","F","","","","","","",""
"26273","Closed","","","12546124","11082","","","","","Microwave","F","","Deinstructed","","","","","","","","","","","","","F","","","","","","01/01/1900","","F","F","","","","","","","F","","","","","","","","","","","","","Raashid Patel","","","","","","","F","","","","","","",""
"26361","Pending","Acquisition & Design","18/03/2024","30877900","27563vf","","27563_0","","Outside London","Site Search","F","","","","","","","","","","","","","","","F","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","Emfyser","GA (Existing + Proposed Pages)","F","01/01/1900","A","","To be instructed","","","","01/01/1900","01/01/1900","01/01/1900","Emfyser","","Raashid Patel","","","To be instructed","","","","F","01/01/1900","01/01/1900","","","01/01/1900","01/01/1900","01/01/1900"
"26362","Closed","","","30895301","27897_0","","","","","Site Search","F","","Deinstructed","","","","","","","","","","","","","F","","","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","Emfyser","GA (Existing + Proposed Pages)","F","","","","","","","","","","","","","Raashid Patel","","","","","","","F","","","","","","",""
"26363","Closed","","","30895401","27348_0","","","","","Site Search","F","","Deinstructed","","","","","","","","","","","","","F","","","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","Emfyser","GA (Existing + Proposed Pages)","F","","","","","","","","","","","","","Raashid Patel","","","","","","","F","","","","","","",""
"26364","Closed","","","30895501","28097_0","","","","","Site Search","F","","Deinstructed","","","","","","","","","","","","","F","","","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","Emfyser","GA (Existing + Proposed Pages)","F","","","","","","","","","","","","","Raashid Patel","","","","","","","F","","","","","","",""
"26365","Closed","","","30895601","28050","","","","","Outside London","F","","Deinstructed","","","","","","","","","","","","","F","","","","","","01/01/1900","","F","F","","","","","","","F","","","","","","","","","","","","","Raashid Patel","","","","","","","F","","","","","","",""
"26366","Closed","","","30895701","27895_0","","","","","Site Search","F","","Deinstructed","","","","","","","","","","","","","F","01/01/1900","","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","Emfyser","GA (Existing + Proposed Pages)","F","","","","","","","","","","","","","Raashid Patel","","","","","","","F","","","","","","",""
"26367","Closed","","","30895901","28044_0","","","","","Site Search","F","","Deinstructed","","","","","","","","","","","","","F","","","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","Emfyser","GA (Existing + Proposed Pages)","F","","","","","","","","","","","","","Raashid Patel","","","","","","","F","","","","","","",""
"26378","Closed","","","30971200","24309","","","","","Outside London","F","","Deinstructed - Streetworks","","","","","","","","KTL (Internal)","Peter Barrett","","A","","F","29/05/2024","","","","","29/05/2024","","F","F","","","","","","","F","","","","","","","","","","","","","Raashid Patel","","","","","","","F","","","","","","",""
"27324","In Progress","Acquisition & Design","10/05/2024","12359233","15419","","","","ICSS","ICSS","F","P2","Greenfield","","","","","","","4/11/24 - JK - Accessed, requested PD include ICSS as we've moved ahead.","","","","","","F","04/06/2024","04/06/2024","01/01/1900","01/01/1900","01/01/1900","04/06/2024","","F","F","","","","","Emfyser","GA (Existing + Proposed Pages)","F","28/06/2024","1A","Sikandar Iqbal","Approved","1A approved by EE","28/08/24 LM: Natalie at CS updated: DD rejected back to us on 16/08/2024 in progress to make amends. Will be reissued end of the week.
Legal draft approved by us to be sent across to EE this week
Landlord notification done and Reg 5 has timed out. 
This should be good for September
11/07/24 LM: GDC Complete, Pass
02/07/24 BW: GDC PO sent to Trylon. F/C 09/07
01/07/24 LM: GDC Quote received and approval request to Robert @ CS
19/06/24 BW: 1A approved by EE. GDC to be instructed 
17/06/24 BW: 1A issued to EE
17/06/24 BW: 1A GA approved by CS. see email in folder for amends to be made at DD","14/06/2024","17/06/2024","17/06/2024","20/06/2024","Emfyser","Green","Raashid Patel","","","Approved","","08/10/24 LM: EE approved amendment
02/10/24 CH: Site legally completed/Accessed now, claimed in Siterra. @Chris Marshall can the team please provide POW and CPHSP once available.
01/10/24-MM-DD 3B Issued to CS and approved
30/09/24-MM-DD 2B Issued to CS & EE
20/09/24 LM: DD approved by EE. DD with CAD team making changes. Expected today Monday at the latest.
19/09/24 SI: CS redlines send back to emfyser for correction. Chased by CS
11/09/24 LM: DD rejected
06/09/24 SI: DD REV B is re-issued to BTEE and uploaded CS core. 
06/09/24 SI: BTEE DD REV 1A rejections are shared with Emfyser and asked for return asap. 
28/08/24 LM: Natalie at CS updated: DD rejected back to us on 16/08/2024 in progress to make amends. Will be reissued end of the week.
Legal draft approved by us to be sent across to EE this week
Landlord notification done and Reg 5 has timed out. 
This should be good for September
16/08/24 LM: DD rejected with comments
15/08/24 LM: Mark Gleghorn advised Approved by Radio at EE so official approval due imminently
13/08/24 LM: 1A issued to EE
31/07/24-MM-1A Issued to CS 
18/07/24-MM- DD Instructed to Emfyser
11/07/24 LM: GDC Complete, Pass
02/07/24 BW: GDC PO sent to Trylon. F/C 09/07
17/06/24 BW: 1A GA approved by CS. see email in folder for amends to be made at DD","3B","T","30/07/2024","01/01/2020","31/07/2024","Martin McWaters","01/10/2024","13/08/2024","19/09/2024"
"27935","In Progress","Acquisition Only","20/06/2024","12066940","81vf","","81_21","","VF399","VF399","F","MSA","Greenfield","","","","","","","","","","","","","F","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","","","F","01/01/1900","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","10/12/24 - MO - Site is Acq only WIG, Dep Clear.","Out of Scope","Site is Acq only WIG, Dep Clear.","10/12/24 - MO - Site is Acq only WIG, Dep Clear.","","T","01/01/1900","10/12/2024","","Ben Watson","01/01/1900","01/01/1900",""
"27936","In Progress","Acquisition Only","20/06/2024","12215024","3082vf","","3082_15","","VF399","VF399","F","MSA","Greenfield","","","","","","","","","","","","","F","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","","","F","01/01/1900","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","10/12/24 - MO - Site is Acq only WIG, Dep Clear.","Out of Scope","Site is Acq only WIG, Dep Clear.","10/12/24 - MO - Site is Acq only WIG, Dep Clear.","","T","01/01/1900","10/12/2024","","Ben Watson","01/01/1900","01/01/1900",""
